ip,port,country,anonymity,type,speed,uptime,fetched_at
142.54.228.193,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.220.92,17328,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
209.97.150.167,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
170.244.27.150,8888,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.129.150,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.65.90.0,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
198.177.254.157,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.208.70,14282,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
72.49.49.11,31034,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
95.66.138.21,8880,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
107.181.168.145,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
159.203.61.169,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.191.0.47,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.237.38,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.137.35,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.116.114.11,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
162.253.68.97,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.191.0.37,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
115.127.107.106,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.187.210.54,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
68.185.57.66,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
72.223.188.92,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
4.156.78.45,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
103.82.27.24,10001,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.64.78.193,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
103.49.114.195,8080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.229.249,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.137.34,18765,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
72.207.33.64,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.102.105.242,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
184.170.251.30,11288,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.216.81,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
208.65.90.3,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
190.242.157.215,8080,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
74.119.144.60,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.64.78.34,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.139.165,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.170.57.241,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.237.34,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
37.18.73.60,5566,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
170.244.27.61,8888,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
141.101.90.98,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.170.57.231,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
78.47.219.204,3128,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.170.57.249,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
125.228.94.232,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
104.37.135.145,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
41.191.203.163,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
107.152.98.5,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
139.60.209.2,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.134.10,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
107.181.161.81,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
8.219.77.141,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
134.209.29.120,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.64.40.184,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.214.20,15864,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.64.78.69,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
98.182.147.97,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
65.1.148.157,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.252.211.193,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
194.219.134.234,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
72.214.108.67,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
184.170.249.65,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.102.104.70,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.116.112.6,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
198.199.86.11,8080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
67.201.33.10,25283,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.135.17,18302,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
70.166.167.55,57745,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
192.111.137.37,18762,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
79.110.201.235,8081,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
199.102.107.145,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.236.97,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.235.9,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
142.54.232.6,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
